id,title,author,available
1,Pequeno Príncipe,Antoine de Saint-Exúpery,True
2,Harry Potter e a Pedra Filosofal,J. K. Rowling,True
3,A culpa é das Estrelas,John Green,True
4,Harry Potter e a Câmara Secreta,J. K. Rowling,True
5,Harry Potter e o Prisioneiro de Azkaban,J. K. Rowling,True
6,Harry Potter e o Cálice de Fogo,J. K. Rowling,True
7,Harry Potter e a Ordem da Fênix,J. K. Rowling,True
8,Harry Potter e o Enigma do Príncipe,J. K. Rowling,True
9,O Ladrão de Raios,Rick Riordan,True
10,Harry Potter e as Relíquias da Morte,J. K. Rowling,True
11,Crepúsculo,Stephenie Meyer,True
12,A Menina que Roubava Livros,Markus Zusak,True
13,Lua Nova,Stephenie Meyer,True
14,A Seleção,Kiera Cass,True
15,A Cabana,Willian P. Young,True
16,Eclipse,Stephenie Meyer,True
17,O Mar de Monstros,Rick Riordan,True
18,O Menino do Pijama Listrado,John Boyne,True
19,Amanhecer,Stephenie Meyer,True
20,O Código da Vinci,Dan Brown,True
21,Jogos Vorazes,Suzanne Collins,True
22,A Maldição do Titã,Rick Riordan,True
23,O Diário de Anne Frank,Anne Frank,True
24,Dom Casmurro,Machado de Assis,True
25,A Elite,Kiera Cass,True
26,A Batalha do Labirinto,Rick Riordan,True
27,Em Chamas,Suzanne Collins,True
28,A Escolha,Kiera Cass,True
29,A Revolução dos Bichos,George Orwell,True
30,O Último Olimpiano,Rick Riordan,True
31,Esperança,Suzanne Collins,True
32,Anjos e Demônios,Dan Brown,True
33,O Caçador de Pipas,Khaled Hosseini,True
34,Querido John,Nichollas Sparks,True
35,Cinquenta Tons de Cinza,E. L. James,True
36,Quem é Você Alasca?,John Green,True
37,Marley & Eu,John Grogan,True
38,As Crônicas de Nárnia,C. S. Lewis,True
39,Extraordinário,R. J. Palacio,True
40,Como Eu Era Antes de Você,Jojo Moyes,True
41,As Vantagens de Ser Invisível,Stephen Chbosky,True
42,A Última Música,Nichollas Sparks,True
43,A Guerra dos Tronos,George R. R. Martin,True
44,Cidades de Papel,John Green,True
45,Cinquenta Tons Mais Escuros,E. L. James,True
46,O Herói Perdido,Rick Riordan,True
47,O Cortiço,Aluísio Azevedo,True
48,Cidade dos Ossos,Cassadra Clare,True
49,Fallen,Lauren Kate,True
50,Corte de Espinhos e Rosas,Sarah J. Maas,True
51,A Rainha Vermelha,Victoria Aveyard,True
52,Memórias Póstumas de Brás Cubas,Machado de Assis,True
53,A volta dos que não foram,Julio Cesar,True
